0	0	0	0
1	0.022584	-0.064103	0.109271
2	-0.19997	-0.338878	-0.061062
3	-0.290945	-0.478201	-0.103689
4	-0.376648	-0.604223	-0.149073
5	-0.516736	-0.783583	-0.249889
6	-0.572312	-0.873369	-0.271255
7	-0.61376	-0.945052	-0.282468
8	-0.654862	-1.01297	-0.296751
9	-0.644881	-1.02438	-0.265377
10	-0.637501	-1.0326	-0.242398
11	-0.62008	-1.02456	-0.215598
12	-0.579472	-0.987813	-0.171131
13	-0.550801	-0.960515	-0.141087
14	-0.51672	-0.925014	-0.108426
15	-0.479824	-0.884099	-0.075549
16	-0.453127	-0.853141	-0.053113
17	-0.426916	-0.822362	-0.031471
18	-0.404321	-0.796366	-0.012275
19	-0.38917	-0.7796	0.001261
20	-0.374451	-0.765201	0.016299
