0	0.209486	-0.377771	0.796742
1	0.211045	-0.814483	1.23657
2	0.896657	-0.438662	2.23198
3	1.3179	-0.238204	2.874
4	1.37682	-0.345132	3.09877
5	1.21225	-0.473212	2.89771
6	0.982702	-0.574927	2.54033
7	0.818785	-0.628862	2.26643
8	0.715745	-0.678137	2.10963
9	0.650325	-0.735957	2.03661
10	0.595704	-0.79762	1.98903
11	0.538153	-0.863284	1.93959
12	0.476504	-0.928211	1.88122
13	0.412996	-0.990499	1.81649
14	0.350933	-1.04918	1.75105
15	0.292092	-1.10441	1.68859
16	0.236902	-1.15684	1.63065
17	0.18508	-1.20674	1.5769
18	0.136123	-1.25412	1.52637
19	0.08967	-1.29884	1.47818
20	0.045534	-1.34081	1.43188
21	0.003648	-1.38	1.38729
22	-0.036015	-1.41644	1.34441
23	-0.073487	-1.45018	1.30321
24	-0.108825	-1.48129	1.26364
