0	0.946902	0.942792	0.935235	0.930497
0.024	0.946599	0.94198	0.934319	0.929298
0.048	0.94609	0.941057	0.931971	0.925193
0.072	0.945614	0.938342	0.927339	0.919832
0.096	0.94431	0.935234	0.921393	0.911471
0.12	0.942723	0.931759	0.913641	0.902268
0.144	0.941655	0.927013	0.904778	0.889351
0.168	0.939713	0.921275	0.893619	0.874099
0.192	0.937377	0.915999	0.882234	0.858443
0.216	0.935766	0.910614	0.868933	0.840855
0.24	0.934048	0.904568	0.85558	0.822181
0.264	0.932322	0.899994	0.841769	0.80068
0.288	0.931462	0.894298	0.827387	0.77976
0.312	0.930237	0.88983	0.814359	0.758079
0.336	0.929599	0.885213	0.800732	0.737117
0.36	0.928974	0.882577	0.788418	0.716278
0.384	0.92905	0.880441	0.776977	0.696577
0.408	0.929271	0.878373	0.768443	0.678455
0.432	0.929645	0.878595	0.759386	0.663502
0.456	0.930752	0.87877	0.754547	0.649929
0.48	0.931975	0.879983	0.750582	0.637249
0.504	0.932869	0.881512	0.74966	0.629085
0.528	0.934334	0.884015	0.748597	0.624043
0.552	0.935445	0.888732	0.751887	0.619764
0.576	0.936775	0.891647	0.755721	0.619961
0.6	0.93855	0.896369	0.76272	0.622308
0.624	0.939811	0.90053	0.769298	0.628134
0.648	0.941048	0.905149	0.778864	0.636373
0.672	0.942265	0.910069	0.788113	0.645537
0.696	0.943802	0.913732	0.798517	0.656851
0.72	0.944191	0.918144	0.808981	0.669765
0.744	0.945606	0.922708	0.820559	0.683908
0.768	0.946202	0.92602	0.831757	0.698792
0.792	0.946786	0.929525	0.843021	0.714441
0.816	0.947755	0.932233	0.853697	0.729871
0.84	0.947959	0.934689	0.863226	0.744967
0.864	0.948306	0.937343	0.872811	0.762414
0.888	0.9485	0.939517	0.882001	0.777162
0.912	0.949146	0.941111	0.890746	0.792883
0.936	0.949076	0.943142	0.897845	0.806548
0.96	0.949431	0.944215	0.904555	0.820593
0.984	0.949398	0.945092	0.910955	0.833441
1.008	0.949476	0.946128	0.916289	0.845276
1.032	0.949664	0.947124	0.921559	0.856424
1.056	0.949768	0.947266	0.926226	0.867178
1.08	0.950108	0.947837	0.929519	0.875984
1.104	0.949893	0.948539	0.932959	0.884998
1.128	0.950082	0.948526	0.935413	0.893009
1.152	0.949784	0.949216	0.938043	0.900246
1.176	0.950139	0.949137	0.939608	0.906597
1.2	0.949953	0.949452	0.942025	0.91217
